week_end,obs_date,release_date,value
2017-12-08,2017-12-01,2017-12-06,-0.73
2017-12-15,2017-12-08,2017-12-13,-0.72
2017-12-22,2017-12-15,2017-12-20,-0.72
2017-12-29,2017-12-22,2017-12-28,-0.74
2018-01-05,2017-12-29,2018-01-04,-0.74
2018-01-12,2018-01-05,2018-01-10,-0.76
2018-01-19,2018-01-12,2018-01-18,-0.78
2018-01-26,2018-01-19,2018-01-24,-0.76
2018-02-02,2018-01-26,2018-01-31,-0.73
2018-02-09,2018-02-02,2018-02-07,-0.69
2018-02-16,2018-02-09,2018-02-14,-0.61
2018-02-23,2018-02-16,2018-02-22,-0.57
2018-03-02,2018-02-23,2018-02-28,-0.56
2018-03-09,2018-03-02,2018-03-07,-0.56
2018-03-16,2018-03-09,2018-03-14,-0.56
2018-03-23,2018-03-16,2018-03-21,-0.55
2018-03-30,2018-03-23,2018-03-28,-0.5
2018-04-06,2018-03-30,2018-04-04,-0.48
2018-04-13,2018-04-06,2018-04-11,-0.47
2018-04-20,2018-04-13,2018-04-18,-0.47
2018-04-27,2018-04-20,2018-04-25,-0.52
2018-05-04,2018-04-27,2018-05-02,-0.53
2018-05-11,2018-05-04,2018-05-09,-0.52
2018-05-18,2018-05-11,2018-05-16,-0.55
2018-05-25,2018-05-18,2018-05-23,-0.58
2018-06-01,2018-05-25,2018-05-31,-0.58
2018-06-08,2018-06-01,2018-06-06,-0.53
2018-06-15,2018-06-08,2018-06-13,-0.52
2018-06-22,2018-06-15,2018-06-20,-0.52
2018-06-29,2018-06-22,2018-06-27,-0.53
2018-07-06,2018-06-29,2018-07-05,-0.51
2018-07-13,2018-07-06,2018-07-11,-0.51
2018-07-20,2018-07-13,2018-07-18,-0.52
2018-07-27,2018-07-20,2018-07-25,-0.55
2018-08-03,2018-07-27,2018-08-01,-0.56
2018-08-10,2018-08-03,2018-08-08,-0.6
2018-08-17,2018-08-10,2018-08-15,-0.65
2018-08-24,2018-08-17,2018-08-22,-0.67
2018-08-31,2018-08-24,2018-08-29,-0.68
2018-09-07,2018-08-31,2018-09-06,-0.69
2018-09-14,2018-09-07,2018-09-12,-0.71
2018-09-21,2018-09-14,2018-09-19,-0.71
2018-09-28,2018-09-21,2018-09-26,-0.73
2018-10-05,2018-09-28,2018-10-03,-0.73
2018-10-12,2018-10-05,2018-10-11,-0.76
2018-10-19,2018-10-12,2018-10-17,-0.76
2018-10-26,2018-10-19,2018-10-24,-0.74
2018-11-02,2018-10-26,2018-10-31,-0.7
2018-11-09,2018-11-02,2018-11-07,-0.65
2018-11-16,2018-11-09,2018-11-15,-0.65
2018-11-23,2018-11-16,2018-11-21,-0.64
2018-11-30,2018-11-23,2018-11-28,-0.62
2018-12-07,2018-11-30,2018-12-05,-0.58
2018-12-14,2018-12-07,2018-12-12,-0.54
2018-12-21,2018-12-14,2018-12-19,-0.51
2018-12-28,2018-12-21,2018-12-27,-0.5
2019-01-04,2018-12-28,2019-01-03,-0.54
2019-01-11,2019-01-04,2019-01-09,-0.6
2019-01-18,2019-01-11,2019-01-16,-0.59
2019-01-25,2019-01-18,2019-01-24,-0.58
2019-02-01,2019-01-25,2019-01-30,-0.57
2019-02-08,2019-02-01,2019-02-06,-0.58
2019-02-15,2019-02-08,2019-02-13,-0.61
2019-02-22,2019-02-15,2019-02-21,-0.66
2019-03-01,2019-02-22,2019-02-27,-0.69
2019-03-08,2019-03-01,2019-03-06,-0.67
2019-03-15,2019-03-08,2019-03-13,-0.69
2019-03-22,2019-03-15,2019-03-20,-0.71
2019-03-29,2019-03-22,2019-03-27,-0.72
2019-04-05,2019-03-29,2019-04-03,-0.69
2019-04-12,2019-04-05,2019-04-10,-0.67
2019-04-19,2019-04-12,2019-04-17,-0.68
2019-04-26,2019-04-19,2019-04-24,-0.69
2019-05-03,2019-04-26,2019-05-01,-0.7
2019-05-10,2019-05-03,2019-05-08,-0.69
2019-05-17,2019-05-10,2019-05-15,-0.68
2019-05-24,2019-05-17,2019-05-22,-0.68
2019-05-31,2019-05-24,2019-05-30,-0.67
2019-06-07,2019-05-31,2019-06-05,-0.65
2019-06-14,2019-06-07,2019-06-12,-0.68
2019-06-21,2019-06-14,2019-06-19,-0.67
2019-06-28,2019-06-21,2019-06-26,-0.67
2019-07-05,2019-06-28,2019-07-03,-0.67
2019-07-12,2019-07-05,2019-07-10,-0.69
2019-07-19,2019-07-12,2019-07-17,-0.69
2019-07-26,2019-07-19,2019-07-24,-0.68
2019-08-02,2019-07-26,2019-07-31,-0.7
2019-08-09,2019-08-02,2019-08-07,-0.69
2019-08-16,2019-08-09,2019-08-14,-0.67
2019-08-23,2019-08-16,2019-08-21,-0.64
2019-08-30,2019-08-23,2019-08-28,-0.64
2019-09-06,2019-08-30,2019-09-05,-0.6
2019-09-13,2019-09-06,2019-09-11,-0.65
2019-09-20,2019-09-13,2019-09-18,-0.68
2019-09-27,2019-09-20,2019-09-25,-0.69
2019-10-04,2019-09-27,2019-10-02,-0.68
2019-10-11,2019-10-04,2019-10-09,-0.64
2019-10-18,2019-10-11,2019-10-17,-0.64
2019-10-25,2019-10-18,2019-10-23,-0.65
