date,post_widening,stock_count,event_count,control_count,event_rate,upper_event_count,lower_event_count,touch_count,near_close_count,event_next_abs_mean,control_next_abs_mean,diff_next_abs,event_side_adj_next_ret_mean,event_continuation_share
2014-01-03,0,839,38,801,0.04529201430274136,33,5,34,33,0.041203580442258025,0.014905583145106458,0.026297997297151567,0.01972093563739986,0.6578947368421053
2014-01-06,0,842,50,792,0.05938242280285035,33,17,41,38,0.02679933959548922,0.012944002625676281,0.013855336969812938,0.006394485885438594,0.42
2014-01-07,0,842,49,793,0.05819477434679335,46,3,38,43,0.03609546049915494,0.011896736703174782,0.024198723795980162,0.020940451905314614,0.6530612244897959
2014-01-08,0,841,45,796,0.0535077288941736,45,0,36,39,0.03214733679273463,0.014093063987708765,0.01805427280502587,0.00732651979527548,0.5333333333333333
2014-01-09,0,841,47,794,0.0558858501783591,35,12,40,28,0.028720882880308624,0.011604434505389796,0.017116448374918828,0.00742498343036278,0.40425531914893614
2014-01-10,0,840,45,795,0.05357142857142857,37,8,39,36,0.031563482004680975,0.013067112621547977,0.018496369383132996,0.0026204522987218048,0.4888888888888889
2014-01-13,0,838,46,792,0.05489260143198091,34,12,36,31,0.03139710120323832,0.010690869525058228,0.02070623167818009,0.012936904990875823,0.6086956521739131
2014-01-14,0,839,30,809,0.03575685339690107,20,10,22,21,0.02951870689086862,0.010909794475736168,0.018608912415132454,0.005361006853704353,0.5666666666666667
2014-01-15,0,839,35,804,0.041716328963051254,30,5,21,28,0.02875762608361083,0.011714889835532328,0.017042736248078505,0.009201527206689175,0.5142857142857142
2014-01-16,0,840,32,808,0.0380952380952381,23,9,26,25,0.03250988889466119,0.009983244771874915,0.02252664412278628,-0.000554324021111983,0.40625
2014-01-17,0,840,28,812,0.03333333333333333,17,11,25,23,0.03071885672275671,0.011581672103412592,0.01913718461934412,0.008101273206333444,0.4642857142857143
2014-01-20,0,841,30,811,0.0356718192627824,28,2,27,27,0.030373487839638495,0.010580646739957374,0.019792841099681123,0.0018376830456482902,0.5
2014-01-21,0,840,24,816,0.02857142857142857,19,5,18,20,0.02292196838602641,0.0098351424020577,0.01308682598396871,-0.02151613376431379,0.125
2014-01-22,0,839,15,824,0.017878426698450536,14,1,12,11,0.024991615021581082,0.010174063263476401,0.014817551758104681,0.0005150498372887655,0.4666666666666667
2014-01-23,0,840,13,827,0.015476190476190477,11,2,8,12,0.03202107340742865,0.009835425963281607,0.02218564744414704,0.01831512073835855,0.6923076923076923
2014-01-24,0,840,12,828,0.014285714285714285,9,3,11,10,0.030424828362697113,0.016289237227560625,0.014135591135136488,0.012225455159679613,0.6666666666666666
2014-01-27,0,838,16,822,0.01909307875894988,6,10,12,16,0.02680248035750074,0.016351586304985614,0.010450894052515126,0.001350325325705901,0.4375
2014-02-05,0,837,36,801,0.043010752688172046,24,12,31,23,0.025327695973710512,0.01402416247994305,0.011303533493767462,0.017075188589328452,0.6944444444444444
2014-02-06,0,841,38,803,0.04518430439952437,38,0,31,35,0.025809070773094946,0.011440752129755457,0.014368318643339489,0.004811151185064595,0.4473684210526316
2014-02-07,0,844,31,813,0.03672985781990521,29,2,26,24,0.029917666877524167,0.012129306961100973,0.017788359916423194,0.013973460492638411,0.5161290322580645
2014-02-10,0,844,33,811,0.03909952606635071,25,8,28,27,0.02281602299695082,0.012342696559973335,0.010473326436977484,0.0012266496898195038,0.36363636363636365
2014-02-11,0,845,39,806,0.046153846153846156,35,4,35,31,0.03492044694945522,0.010014712957962487,0.024905733991492728,0.024076285708527188,0.717948717948718
2014-02-12,0,843,28,815,0.033214709371293,28,0,21,23,0.03079779565508156,0.011189163986038614,0.019608631669042947,0.010234322895200718,0.5357142857142857
2014-02-13,0,842,25,817,0.029691211401425176,24,1,20,21,0.02865639487127332,0.010187877273409354,0.018468517597863963,0.007869731595247531,0.56
2014-02-14,0,841,18,823,0.02140309155766944,16,2,18,11,0.03140802643179808,0.011587570100959635,0.019820456330838447,0.007196996028383797,0.4444444444444444
