date,views
2021-01-27,38228.0
2021-01-28,178485.0
2021-01-29,219456.0
2021-01-30,109172.0
2021-01-31,92447.0
2021-02-01,72275.0
2021-02-02,51655.0
2021-02-03,37367.0
2021-02-04,33905.0
2021-02-05,22781.0
2021-02-06,16391.0
2021-02-07,14994.0
2021-02-08,16235.0
2021-02-09,14773.0
2021-02-10,12305.0
2021-02-11,6910.0
2021-02-12,5417.0
2021-02-13,4784.0
2021-02-14,4254.0
2021-02-15,4983.0
2021-02-16,4672.0
2021-02-17,5447.0
2021-02-18,9480.0
2021-02-19,8521.0
2021-02-20,8659.0
2021-02-21,4329.0
2021-02-22,4647.0
2021-02-23,4009.0
2021-02-24,7142.0
2021-02-25,11698.0
2021-02-26,7608.0
2021-02-27,5043.0
2021-02-28,3851.0
2021-03-01,4482.0
2021-03-02,4486.0
2021-03-03,3978.0
2021-03-04,3311.0
2021-03-05,3415.0
2021-03-06,2590.0
2021-03-07,2682.0
2021-03-08,4261.0
2021-03-09,6480.0
2021-03-10,8439.0
2021-03-11,5392.0
2021-03-12,7414.0
2021-03-13,3075.0
2021-03-14,3101.0
2021-03-15,4263.0
2021-03-16,3823.0
2021-03-17,3495.0
2021-03-18,3418.0
2021-03-19,2894.0
2021-03-20,2143.0
2021-03-21,2120.0
2021-03-22,2643.0
2021-03-23,2818.0
2021-03-24,3382.0
2021-03-25,3514.0
2021-03-26,3024.0
2021-03-27,2211.0
2021-03-28,2028.0
2021-03-29,2578.0
2021-03-30,2685.0
2021-03-31,2561.0
2021-04-01,2460.0
2021-04-02,1838.0
2021-04-03,1471.0
2021-04-04,1552.0
2021-04-05,2182.0
2021-04-06,2119.0
2021-04-07,2104.0
2021-04-08,2232.0
2021-04-09,2256.0
2021-04-10,1992.0
2021-04-11,1808.0
2021-04-12,2100.0
2021-04-13,2168.0
2021-04-14,2616.0
2021-04-15,2545.0
2021-04-16,3081.0
2021-04-17,2627.0
2021-04-18,2497.0
2021-04-19,2980.0
2021-04-20,2727.0
2021-04-21,2469.0
2021-04-22,2194.0
2021-04-23,2077.0
2021-04-24,1582.0
2021-04-25,1776.0
2021-04-26,2537.0
2021-04-27,2713.0
2021-04-28,2233.0
2021-04-29,2179.0
2021-04-30,1815.0
2021-05-01,1402.0
2021-05-02,1567.0
2021-05-03,1995.0
2021-05-04,2378.0
